mirID 	youngRep1_AS_ZT0	youngRep1_AS_ZT4	youngRep1_AS_ZT8	youngRep1_AS_ZT12	youngRep1_AS_ZT16	youngRep1_AS_ZT20	youngRep2_AS_ZT0	youngRep2_AS_ZT4	youngRep2_AS_ZT8	youngRep2_AS_ZT12	youngRep2_AS_ZT16	youngRep2_AS_ZT20	oldRep1_AS_ZT0	oldRep1_AS_ZT4	oldRep1_AS_ZT8	oldRep1_AS_ZT12	oldRep1_AS_ZT16	oldRep1_AS_ZT20	oldRep2_AS_ZT0	oldRep2_AS_ZT4	oldRep2_AS_ZT8	oldRep2_AS_ZT12	oldRep2_AS_ZT16	oldRep2_AS_ZT20
dme-miR-4952-5p_MIMAT0020166 	178.5 	402.5 	452.0 	437.5 	467.0 	407.5 	387.0 	457.5 	552.5 	432.5 	366.0 	469.5 	482.0 	433.5 	354.0 	557.0 	513.0 	540.0 	473.0 	516.5 	413.0 	603.5 	421.0 	409.5 
dme-miR-4952-3p_MIMAT0020167 	13.0 	47.0 	75.0 	65.0 	77.0 	66.0 	43.0 	88.5 	98.0 	63.0 	67.0 	84.0 	41.0 	27.5 	29.0 	43.0 	36.0 	43.0 	29.0 	50.0 	26.0 	43.0 	34.0 	28.0 
dme-miR-4953-3p_MIMAT0020168 	0.0 	1.0 	1.0 	2.0 	1.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	1.0 	0.0 	1.0 	1.0 	0.0 	2.0 	0.0 	2.0 	0.0 	0.0 	1.0 	1.0 	0.0 
dme-miR-9381-5p_MIMAT0035225 	3.0 	6.0 	6.0 	6.0 	15.0 	10.0 	3.0 	5.0 	19.0 	6.0 	3.0 	7.0 	31.0 	23.0 	31.0 	32.0 	14.0 	26.0 	32.0 	30.0 	8.0 	35.0 	12.0 	10.0 
dme-miR-9381-3p_MIMAT0035226 	10.0 	27.0 	24.0 	37.0 	31.0 	36.0 	20.0 	25.0 	28.0 	32.0 	14.0 	22.0 	39.0 	45.0 	25.0 	38.0 	30.0 	31.0 	45.0 	27.0 	33.0 	36.0 	25.0 	22.0 
dme-miR-1015-3p_MIMAT0005028 	1.0 	6.0 	11.0 	5.0 	5.0 	4.0 	4.0 	2.0 	9.0 	1.0 	3.0 	3.0 	11.0 	3.0 	1.0 	6.0 	1.0 	3.0 	1.0 	2.0 	2.0 	1.0 	3.0 	1.0 
dme-miR-1017-3p_MIMAT0005030 	215.0 	275.0 	288.0 	315.0 	518.0 	338.0 	397.0 	485.0 	577.0 	563.0 	268.0 	372.0 	275.0 	194.0 	164.0 	277.0 	305.0 	189.0 	226.0 	202.0 	181.0 	218.0 	109.0 	150.0 
dme-miR-1003-3p_MIMAT0005016 	51.5 	94.0 	146.5 	150.0 	189.0 	167.833333333 	111.0 	165.5 	228.5 	158.0 	95.5 	147.5 	69.5 	67.0 	59.5 	78.5 	104.5 	72.5 	88.0 	77.0 	92.5 	83.5 	47.5 	74.5 
dme-miR-1003-5p_MIMAT0020902 	9.0 	19.0 	21.0 	29.0 	43.0 	29.0 	33.0 	45.0 	40.0 	35.0 	24.0 	33.0 	23.5 	24.0 	33.0 	28.0 	26.0 	21.3333333333 	30.0 	28.5 	26.0 	27.0 	13.0 	14.0 
dme-miR-1000-5p_MIMAT0005520 	16277.0 	40304.5 	46087.0 	42302.5 	57495.0 	55185.0 	46193.5 	49623.0 	57178.0 	48456.5 	41420.5 	50283.5 	33733.5 	31132.5 	30598.5 	39567.5 	39316.0 	40120.8333333 	34972.5 	39763.5 	29090.0 	39814.0 	29443.0 	31125.5 
