mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-4980-3p_MIMAT0020213 	51.6185167141489	53.2558890804336	-3.29547121785318	3.30894801661332e-37
dme-miR-4981-3p_MIMAT0020214 	29.4546793556439	29.4551059646301	5.20806024724957	2.61195935761304e-43
dme-miR-280-5p_MIMAT0000343 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-986-5p_MIMAT0005503 	18.9299903206615	18.930001530672	10.4839915204382	1.26980619362778e-38
dme-miR-986-3p_MIMAT0020884 	40.2259394532593	40.2439507282096	-0.0579529230861962	4.45378866143065e-36
dme-miR-987-5p_MIMAT0005504 	13.3966196965719	13.3966213038865	13.2391571903656	4.09002270638718e-36
dme-miR-987-3p_MIMAT0020885 	35.7162479805322	35.7200553848137	2.13182404223954	2.52881134366358e-41
dme-miR-14-3p_MIMAT0000120 	8.51542537903864	8.51542564844886	15.6748300757971	1.48960139267597e-29
dme-miR-14-5p_MIMAT0020798 	21.5861099638474	21.5861378595417	9.14084888603574	1.61019118592175e-41
dme-miR-307b-5p_MIMAT0012194 	52.45999238915	54.0738843648046	-3.40562997230482	3.50391064472044e-38
dme-miR-307b-3p_MIMAT0012195 	49.7425216788714	50.2722349091361	-3.12934485096104	1.80190741013452e-33
dme-miR-307a-3p_MIMAT0000398 	27.016943370306	27.0171264756914	6.42451808788186	2.60624339826943e-43
dme-miR-307a-5p_MIMAT0020832 	36.0128865857502	36.0170453403864	1.96435188306587	9.25250231354929e-39
dme-miR-4967-5p_MIMAT0020192 	51.3249455973829	52.4732657667949	-3.29507020149863	1.25429220643545e-35
dme-miR-4967-3p_MIMAT0020193 	48.9592453650465	49.3696232941683	-2.98042757852979	9.98576551409693e-35
dme-miR-1008-3p_MIMAT0005021 	41.0969485299782	41.1211572185828	-0.443050864771981	4.22351405077757e-35
dme-miR-1008-5p_MIMAT0032028 	31.0011371439927	31.0018691899055	4.4435446328831	3.98022729669578e-43
dme-miR-988-3p_MIMAT0005505 	31.5426600417497	31.5435507451993	4.1841653056636	3.26457590262526e-34
dme-miR-988-5p_MIMAT0020886 	25.4352030204898	25.4353134048687	7.2754577743103	1.23321424367689e-32
dme-miR-281-3p_MIMAT0000345 	26.0495506723656	26.0496835906028	6.92921661983278	1.10637517104994e-47
dme-miR-281-2-5p_MIMAT0000349 	16.7038911519103	16.7038962576998	11.5802995771142	4.46774774363965e-36
dme-miR-281-1-5p_MIMAT0000344 	16.6654721420487	16.6654771795991	11.5994250956997	4.64614028810401e-36
dme-miR-281-3p_MIMAT0000345_1 	26.101731864547	26.1018672713486	6.90380695356957	1.44862731090537e-47
dme-miR-184-5p_MIMAT0000330 	33.9150328575873	33.9170837806836	3.02515979066884	4.75817338795839e-33
